Smiles,blood potassium decreased,malaise,renal failure acute,acute kidney injury,rash papular,haematemesis,fatigue,cough,depression,restlessness,hypoglycaemia,hyperglycaemia,oedema,cyanosis,neonatal disorder,aggression,urinary tract infection,muscle rigidity,delirium,paralysis,chest discomfort,cerebral haemorrhage,hepatitis,vision blurred,rash,hypotonia neonatal,convulsion,aspartate aminotransferase increased,acidosis,thrombocytopenia,bronchospasm,myocardial infarction,psychomotor hyperactivity,respiratory depression,pericardial effusion,neonatal respiratory distress syndrome,body temperature increased,hypercalcaemia,eosinophilia,angioedema,screaming,multiple organ dysfunction syndrome,blood pressure decreased,rhinorrhoea,cardiac failure congestive,cognitive disorder,neutropenia,heart rate increased,arthralgia,asthma,hypertension,pulmonary haemorrhage,hepatotoxicity,hypoglycaemia neonatal,gamma-glutamyltransferase increased,depressed level of consciousness,movement disorder,influenza like illness,malignant neoplasm progression,visual impairment,ventricular fibrillation,mood altered,feeding disorder,bronchopulmonary dysplasia,cardiac arrest,dry skin,dizziness,deafness,syncope,bacterial infection,speech disorder,flatulence,metabolic acidosis,toxic epidermal necrolysis,deep vein thrombosis,bradycardia,alanine aminotransferase increased,cytomegalovirus infection,unresponsive to stimuli,haemoglobin decreased,urticaria,gastroenteritis,urinary retention,blood creatinine increased,neuropathy peripheral,dermatitis atopic,growth retardation,pleural effusion,blister,jaundice,anxiety,hallucination,brain oedema,back pain,pyrexia,otitis media,eye movement disorder,transaminases increased,drug hypersensitivity,haemolysis,haematoma,wheezing,clostridium difficile infection,ventricular septal defect,feeling hot,muscular weakness,shock,eczema,mydriasis,paraesthesia,erythema,hepatic enzyme increased,hyperthermia,acute myeloid leukaemia,disturbance in attention,haemoptysis,chills,hypokalaemia,pancreatitis,coma,febrile neutropenia,hypothermia,agitation,cardio-respiratory arrest,pneumonitis,blindness,decreased appetite,dyskinesia,haemorrhage,haemodynamic instability,heart rate decreased,muscle spasms,chest pain,gait disturbance,dystonia,upper respiratory tract infection,lip swelling,hepatomegaly,electrolyte imbalance,sleep disorder,tinnitus,lymphadenopathy,fluid retention,abdominal pain upper,apnoea,herpes zoster,haemolytic anaemia,lactic acidosis,somnolence,bronchiolitis,mucosal inflammation,retching,migraine,disorientation,myalgia,stomatitis,stevens-johnson syndrome,disease progression,discomfort,sepsis,sedation,epistaxis,ventricular tachycardia,fungal infection,abdominal discomfort,swelling,nervousness,enuresis,hypotonia,pseudomonas infection,abnormal behaviour,injection site pain,immunodeficiency,hypospadias,ear infection,septic shock,rash macular,weight increased,leukopenia,anaphylactic reaction,pancytopenia,diarrhoea,feeling abnormal,oxygen saturation decreased,rash generalised,anger,skin exfoliation,vomiting,skin discolouration,aspiration,electrocardiogram qt prolonged,suicidal ideation,drug intolerance,pharyngitis,blood lactate dehydrogenase increased,viral infection,productive cough,cardiac disorder,withdrawal syndrome,infection,gastritis,liver disorder,confusional state,tachypnoea,intestinal perforation,death,atelectasis,pulmonary oedema,intestinal obstruction,jaundice neonatal,splenomegaly,cholestasis,talipes,white blood cell count increased,tremor,dyspnoea,general physical health deterioration,anaphylactic shock,circulatory collapse,blood creatine phosphokinase increased,suicide attempt,inflammation,cystitis haemorrhagic,generalised tonic-clonic seizure,pulmonary embolism,posterior reversible encephalopathy syndrome,respiratory disorder neonatal,hypoxia,hypocalcaemia,hypothyroidism
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,,1.0,,0.0,,,0.0,0.0,1.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,,0.0,,1.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,,1.0,,,0.0,0.0,,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,,0.0,0.0,,,0.0,,0.0,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,1.0,1.0,0.0,,,0.0,0.0,,,1.0,,0.0,0.0,0.0,,,,0.0,,0.0
CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(CC2=CN=CN2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CN=CN3)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(C)N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,,1.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,,,0.0,,1.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
CC.CC.CC.CC.CC.CC,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCCCS(=O)(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,,0.0,,,,,0.0,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,0.0,,,,1.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,1.0,,0.0,,,,0.0,,,,,0.0,1.0,,,1.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,1.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,
